algorithm seed time result
rhea 2 3 149.28898668289185
rhea 0 3 123.46959185600281
mcts 2 2 215.83523035049438
mcts 5 2 97.95191216468811
mcts 4 2 152.4776794910431
rhea 1 3 104.764883518219
rhea 6 2 142.33934617042542
mcts 3 3 215.32531309127808
rhea 3 3 183.77481961250305
mcts 1 3 96.32268929481506
mcts 7 2 285.9480948448181
mcts 6 2 167.28213024139404
mcts 5 3 119.02281093597412
mcts 2 3 214.84584164619446
mcts 3 2 164.5304937362671
rhea 6 3 178.37173104286194
mcts 0 3 116.10866975784302
mcts 1 2 86.48464322090149
rhea 3 2 139.50995135307312
rhea 5 3 86.54917478561401
rhea 5 2 99.38453698158264
rhea 0 2 90.81733107566833
mcts 7 3 218.63234448432922
rhea 2 2 151.8671908378601
mcts 4 3 186.52733254432678
rhea 4 2 126.55569863319397
mcts 6 3 222.79571437835693
mcts 0 2 96.0931224822998
rhea 7 2 202.86516499519348
rhea 1 2 92.51583504676819
rhea 4 3 200.75628018379211
rhea 7 3 147.07249212265015
