algorithm seed time result
mcts 0 2 115.68896055221558
mcts 1 3 133.1537311077118
rhea 5 3 100.66007494926453
mcts 2 3 191.60132098197937
rhea 2 2 177.07417464256287
rhea 4 3 160.48551678657532
rhea 7 3 194.55861520767212
rhea 5 2 98.7616982460022
mcts 3 2 134.1739854812622
mcts 4 2 125.79753541946411
mcts 0 3 140.2615282535553
rhea 1 3 97.10675692558289
mcts 5 2 88.61892652511597
rhea 0 2 90.12814259529114
rhea 0 3 98.29045629501343
rhea 3 2 154.52394676208496
mcts 7 3 239.06952095031738
rhea 6 3 159.59629225730896
mcts 6 2 185.40880584716797
rhea 7 2 147.65079617500305
mcts 5 3 102.64069509506226
mcts 1 2 84.55088973045349
rhea 6 2 210.8935489654541
rhea 1 2 131.83853816986084
rhea 2 3 185.7808153629303
mcts 2 2 162.37249207496643
mcts 7 2 192.26450634002686
mcts 6 3 206.71992135047913
rhea 3 3 228.20174837112427
mcts 4 3 187.7746353149414
mcts 3 3 198.74056267738342
rhea 4 2 115.91425013542175
