algorithm seed time result
mcts 2 3 209.7692403793335
mcts 4 2 122.12318110466003
rhea 6 3 178.434401512146
mcts 7 3 182.6019196510315
mcts 7 2 240.23235321044922
rhea 0 3 94.91598582267761
rhea 1 2 79.63905334472656
mcts 3 2 171.20816802978516
rhea 7 2 212.36405324935913
mcts 5 3 123.52517366409302
rhea 2 2 186.0299470424652
rhea 6 2 144.57370114326477
rhea 5 2 81.06771731376648
mcts 0 3 207.90525555610657
mcts 1 2 134.39740657806396
mcts 5 2 95.15922737121582
mcts 1 3 118.4450511932373
rhea 4 2 107.31298351287842
rhea 5 3 90.03742480278015
rhea 0 2 78.80648064613342
rhea 4 3 144.84164905548096
mcts 3 3 179.05168652534485
mcts 2 2 226.87442064285278
rhea 7 3 233.07433414459229
rhea 1 3 118.6444742679596
rhea 3 3 175.18938040733337
rhea 2 3 221.97638940811157
mcts 4 3 217.34933066368103
rhea 3 2 148.1802499294281
mcts 6 3 185.04012489318848
mcts 0 2 106.96798849105835
mcts 6 2 159.70884561538696
