algorithm seed time result
mcts 7 2 199.57251858711243
rhea 0 3 116.5326042175293
mcts 3 3 231.9556405544281
mcts 4 3 181.54341101646423
rhea 7 2 123.33140325546265
mcts 0 3 102.90335416793823
mcts 0 2 90.20925951004028
rhea 2 3 178.98098421096802
mcts 2 2 140.88051986694336
mcts 7 3 238.53747463226318
rhea 6 2 184.05010509490967
mcts 6 3 204.28025460243225
rhea 1 2 137.82528495788574
rhea 5 3 94.59487199783325
mcts 6 2 192.22223448753357
rhea 2 2 145.28407645225525
rhea 4 3 139.4007318019867
mcts 3 2 165.99161338806152
rhea 1 3 197.63501906394958
mcts 1 2 106.7782781124115
mcts 4 2 143.1211621761322
rhea 0 2 85.99291372299194
mcts 5 3 94.83296060562134
rhea 6 3 192.15534090995789
rhea 4 2 115.16153001785278
rhea 3 2 124.45408701896667
rhea 3 3 177.06392669677734
mcts 5 2 83.05939054489136
mcts 1 3 100.5599684715271
rhea 5 2 116.32058215141296
rhea 7 3 220.49622797966003
mcts 2 3 184.0687394142151
