algorithm seed time result
rhea 4 3 191.06096172332764
rhea 0 2 96.98454689979553
rhea 2 3 164.14883184432983
mcts 4 2 154.0842308998108
mcts 1 2 142.15836548805237
rhea 7 2 190.69303178787231
mcts 0 3 110.73922300338745
mcts 3 2 138.76216554641724
mcts 5 2 100.01356267929077
rhea 6 3 199.21425032615662
rhea 4 2 147.72859621047974
rhea 7 3 219.26848435401917
mcts 6 3 144.72220182418823
mcts 0 2 98.36475539207458
rhea 5 2 83.09208178520203
rhea 1 3 91.25578904151917
mcts 7 2 225.03766703605652
mcts 5 3 101.4635796546936
mcts 3 3 172.49253916740417
rhea 0 3 89.68403816223145
mcts 4 3 138.003892660141
mcts 2 3 191.8567008972168
mcts 1 3 131.31090927124023
rhea 5 3 134.992121219635
mcts 7 3 238.58671164512634
rhea 1 2 81.50286483764648
rhea 3 2 163.06993770599365
rhea 3 3 178.83895087242126
mcts 6 2 113.03721284866333
rhea 6 2 138.01454949378967
rhea 2 2 141.465158700943
mcts 2 2 216.87847518920898
