algorithm seed time result
rhea 7 3 196.1576590538025
rhea 1 2 109.9704954624176
rhea 5 3 121.7693829536438
mcts 5 2 85.99361729621887
mcts 1 2 89.17783117294312
mcts 4 3 236.8988926410675
rhea 0 2 110.48067474365234
mcts 7 2 211.03309750556946
rhea 6 2 151.18133425712585
mcts 3 3 197.7555022239685
rhea 6 3 180.49843573570251
rhea 7 2 207.82229089736938
mcts 2 3 169.09183406829834
mcts 7 3 237.19115829467773
rhea 4 3 120.67254710197449
rhea 3 2 175.23501110076904
rhea 2 2 174.655907869339
rhea 1 3 93.45683097839355
rhea 4 2 110.74868845939636
mcts 2 2 147.37808871269226
mcts 1 3 138.43495774269104
mcts 4 2 173.46268439292908
mcts 0 3 115.24241352081299
mcts 0 2 78.1061863899231
rhea 5 2 125.98836064338684
rhea 0 3 102.51391839981079
mcts 5 3 98.95108270645142
rhea 3 3 185.82457494735718
mcts 3 2 170.24628567695618
mcts 6 2 186.99176812171936
rhea 2 3 182.11176013946533
mcts 6 3 185.22831225395203
