algorithm seed time result
mcts 0 3 196.50778937339783
rhea 0 2 82.4104528427124
rhea 4 3 144.55856084823608
rhea 6 3 222.37979173660278
rhea 5 3 92.25315570831299
mcts 5 2 82.74853801727295
mcts 5 3 142.03624653816223
rhea 2 3 202.3977334499359
rhea 0 3 199.12967658042908
rhea 7 2 196.87043833732605
mcts 6 2 177.13970804214478
rhea 6 2 131.0614869594574
mcts 0 2 109.49028968811035
rhea 3 2 143.2291066646576
rhea 3 3 180.8684413433075
rhea 5 2 116.74995470046997
mcts 1 3 122.87743735313416
mcts 7 2 201.9848051071167
mcts 1 2 95.97102403640747
mcts 6 3 221.64671683311462
mcts 7 3 234.45949459075928
rhea 4 2 145.31260919570923
rhea 1 2 86.7295355796814
mcts 3 3 198.52833008766174
rhea 7 3 164.0583107471466
mcts 2 2 164.22422814369202
mcts 2 3 178.70195841789246
rhea 2 2 151.8899223804474
mcts 4 3 176.8594515323639
mcts 3 2 174.49299311637878
mcts 4 2 140.28329205513
rhea 1 3 78.32110404968262
