algorithm seed time result
mcts 4 2 149.06679320335388
mcts 5 2 132.29910731315613
mcts 7 2 213.58850264549255
rhea 4 3 172.2200939655304
mcts 6 3 168.04622173309326
rhea 5 2 99.45213603973389
rhea 2 3 224.43881559371948
rhea 2 2 167.18057823181152
mcts 2 3 220.42759084701538
rhea 1 2 92.97049117088318
rhea 5 3 96.35727643966675
rhea 7 2 159.47608470916748
mcts 6 2 148.58055090904236
rhea 7 3 231.67127132415771
mcts 3 3 228.26497840881348
rhea 0 2 86.23930764198303
mcts 1 3 99.57124876976013
rhea 6 3 173.0271155834198
rhea 3 3 212.02555775642395
rhea 3 2 129.19209265708923
mcts 3 2 188.3723554611206
rhea 6 2 136.34491443634033
mcts 4 3 167.61051559448242
mcts 2 2 186.19688820838928
mcts 7 3 232.62171030044556
rhea 4 2 169.84155178070068
mcts 0 3 92.73280358314514
mcts 0 2 106.55637073516846
mcts 5 3 94.96440029144287
mcts 1 2 108.6743597984314
rhea 0 3 101.29862141609192
rhea 1 3 127.12980127334595
