algorithm seed time result
mcts 5 2 72.39849281311035
mcts 7 2 239.3804304599762
mcts 2 2 216.71462106704712
rhea 6 3 164.56689357757568
rhea 4 3 197.36004853248596
mcts 3 2 174.90712642669678
rhea 1 2 86.28460383415222
mcts 2 3 193.3052523136139
mcts 4 3 148.2776346206665
mcts 0 3 114.86491107940674
rhea 4 2 125.12868309020996
rhea 1 3 91.7351496219635
rhea 2 2 178.80024456977844
mcts 4 2 142.486310005188
rhea 3 2 170.62654304504395
rhea 0 2 95.34258198738098
rhea 0 3 99.25431251525879
rhea 6 2 114.35383772850037
mcts 3 3 218.2200756072998
rhea 3 3 181.55104851722717
rhea 5 3 96.6178834438324
mcts 7 3 220.97632479667664
rhea 2 3 161.70369005203247
mcts 5 3 98.12195014953613
mcts 1 3 144.87632012367249
mcts 6 2 170.6534538269043
mcts 6 3 193.46527290344238
mcts 1 2 84.80124950408936
rhea 7 2 194.9081871509552
mcts 0 2 81.20550632476807
rhea 5 2 83.15922999382019
rhea 7 3 193.55043983459473
